division_name,block_name,panchayat_name,total_rakba_in_hectares,total_jamarashi_in_lakh_rupees,jalkars_located_in_multiple_panchayat,district_name,jalkar_name
Patna,Bhagwanpur,Mokaram,1.56,0.07632,Jaitpur Kalan,Kaimur(Bhabua),Kukanhiya Nadi (Natkar Se Bhariya Tak)
Patna,Bhagwanpur,Mokaram,1.25,0.00864,Parhauti,Kaimur(Bhabua),Kukanhiya Nadi (Semariya Se Kushadiha Tak)
Patna,Chand,Biuri,2.32,0.01,"Biuri,Goin",Kaimur(Bhabua),Karmanasha Nadi
Patna,Chand,Chauri,3.61,0.008,"Chauri,Dulahi",Kaimur(Bhabua),Gehua Nadi (Dulhi Se Ledri Tal)
Patna,Chand,Chauri,1.27,0.1512,"Chauri,Dulahi",Kaimur(Bhabua),Gehua Nadi (Gehua Se Dulhi)
Patna,Durgawati,Kalyanpur,4.06,0.02016,"Cheharian,Kalyanpur",Kaimur(Bhabua),Kripalpur Garhi
Patna,Durgawati,Masaurha,6.74,0.036,"Dumri,Masaurha",Kaimur(Bhabua),Ghinhu Patti Garhi
Purnia,Amdabad,Jangalatal,8.890688259,0.441,"Jangalatal,Lakhanpur",Katihar,Garhel Jalkar
Purnia,Amdabad,Bairia,34.71659919,0.356,"Jangalatal,Lakhanpur,Bairia",Katihar,Tegja Mahananda Kankhar Nadi
Purnia,Amdabad,Bhawanipur Khatti,21.19433198,0.0135,"Pardiara,Bhawanipur Khatti",Katihar,Jeetan Dhav
Purnia,Barari,Baisa Govindpur,104.55,1.7605,"Kabar,Baisa Govindpur,Mohana Chandpur",Katihar,Doria Ganghara Jalkar
Purnia,Dandkhora,Bhamraili,24.5465587,0.29,Souriya,Katihar,Kankhar Nadi
Purnia,Katihar,Sirinia East,12.82591093,0.39,"Sirinia West,Sirinia East",Katihar,Naya Kamla Naniya Jalkar Sah Makhana Mahal
Purnia,Kohra/Korha,Chandwa,14.85020243,1.121,"Baharkhal,Chandwa",Katihar,Chainan Dhar Jalkar
Purnia,Manihari,Narayanpur,34.32793522,0.352,"Fatteh Nagar,Narayanpur",Katihar,Gada Chatra
Purnia,Manihari,Bouliya,27.97975709,0.08,"Bouliya,Baghmara",Katihar,Bauliya Jalkar
Purnia,Mansahi,Sahebnagar,26.2145749,1.663,Mohanpur,Katihar,Dughael Kursel Jalkar
Munger,Alauli,Chhilkauri,95.5,1.61,Sumbha,Khagaria,Nihai Hathaudi Jalkar
Munger,Alauli,Sahsi,15.984,0.1736,Haripur,Khagaria,Bagmati Kodra Jalkar
Munger,Alauli,Sumbha,2.24,0.1414,Goriyami,Khagaria,Situahi Dobh Jalkar
Munger,Alauli,Amba Icharwa,16.208,0.378,Goriyami,Khagaria,Bagmati Sanjhoti Jalkar
Munger,Beldaur,Telihar,252.42,0.0,"Dumri,Dighon,Balaitha,Chodhli,Itamadi",Khagaria,Chaidheli Sohar Athaniya Pachaniya (Usraha Se Kapasiya)
Munger,Beldaur,Dumri,0.64,0.301,Belanowad,Khagaria,Balukundi Jalkar Dhar
Munger,Beldaur,Bobil,6.18,0.049,Sakrohar,Khagaria,Mangrua Jalkar Chair
Munger,Beldaur,Chodhli,14.82,1.141,"Dighon,Balaitha,Itamadi",Khagaria,Chedhli Sohar Athaniya Pachaniya Jalkar Evam Vibhinn Bhag
Munger,Chautham,Buchha,8.0,0.14,Sarsawa,Khagaria,Thedi Mor Jalkar
Munger,Chautham,Purbi Borne,10.0,1.12,"Paschimi Borne,Madhaya Borne",Khagaria,Vorne Jalkar
Munger,Gogri,Maheshkhunt,20.0,1.134,Gauchhari,Khagaria,Tappa Jamalpur (LRD) Jalkar
Munger,Gogri,Pakrail,18.524,1.134,"Banni,Samaspur,Maheshkhunt",Khagaria,Tappa Jamalpur Banaili Jalkar Pakrail Leba Gaon Se Kasariya Dhar Tak
Munger,Gogri,Koela,50.0,4.648,"Maira,Pawra",Khagaria,Maira Jalkar Evam Vibhinn Bhag
Munger,Gogri,Koela,50.0,3.71,"Maira,Baltara,Pawra,Deotha,Paikat",Khagaria,Athaniya Pachaniya Jalkar Evam Vibhinn Bhag
Munger,Khagaria,Belasimri,68.16,1.47,"Olapur Gangour,Jalkoura,Janhagira",Khagaria,Chanha Lakshminiya Belasimri Jahangira Chair
